respondent_id,age,gender,province,sector,education,urban_rural,monthly_income_rwf
81,32,Male,Eastern,Services,Primary,Urban,89894
82,39,Female,Eastern,Trade,Secondary,Urban,64217
83,52,Male,Southern,Agriculture,No Education,Rural,102007
84,28,Female,Western,Agriculture,Primary,Urban,103387
85,25,Male,Western,Trade,Secondary,Rural,109742
86,28,Male,Kigali,Agriculture,Primary,Rural,268177
87,45,Female,Western,Trade,Secondary,Rural,199120
88,38,Male,Southern,Agriculture,Secondary,Rural,67186
89,28,Male,Kigali,Manufacturing,Secondary,Urban,166311
90,41,Female,Kigali,Agriculture,Primary,Rural,58110
91,36,Female,Kigali,Services,Secondary,Rural,310046
92,46,Female,Western,Manufacturing,Secondary,Rural,140409
93,26,Male,Northern,Agriculture,Secondary,Urban,31794
94,31,Male,Southern,Agriculture,Secondary,Urban,128403
95,30,Female,Kigali,Agriculture,Primary,Urban,33021
96,18,Female,Southern,Services,Primary,Rural,747893
97,38,Female,Kigali,Services,Primary,Rural,60180
98,38,Female,Eastern,Manufacturing,No Education,Urban,157841
99,35,Female,Northern,Services,Primary,Rural,160202
100,32,Female,Kigali,Services,Secondary,Rural,122242
101,18,Male,Southern,Agriculture,Secondary,Rural,81405
102,29,Female,Kigali,Agriculture,Primary,Rural,121738
103,30,Male,Southern,Agriculture,Tertiary,Rural,481959
104,25,Male,Eastern,Other,Secondary,Urban,308271
105,33,Female,Northern,Trade,Tertiary,Rural,579892
106,39,Female,Kigali,Agriculture,Secondary,Urban,57773
107,57,Male,Kigali,Services,Secondary,Rural,198506
108,37,Male,Western,Trade,No Education,Rural,111769
109,38,Male,Kigali,Services,Primary,Rural,172560
110,34,Female,Southern,Agriculture,No Education,Rural,237480
111,18,Female,Western,Agriculture,Secondary,Urban,111854
112,34,Male,Kigali,Services,Primary,Urban,122466
113,35,Male,Kigali,Other,Secondary,Rural,196722
114,64,Female,Southern,Manufacturing,Primary,Urban,47647
115,32,Male,Western,Agriculture,Secondary,Rural,84943
116,38,Female,Western,Agriculture,Primary,Urban,101434
117,34,Female,Northern,Trade,Primary,Urban,67601
118,20,Male,Southern,Trade,Primary,Urban,328838
119,48,Female,Kigali,Services,Primary,Rural,55705
120,44,Male,Western,Services,Primary,Rural,116883
121,44,Male,Western,Agriculture,Secondary,Urban,168739
122,24,Female,Kigali,Trade,No Education,Urban,378937
123,51,Male,Kigali,Trade,Primary,Rural,107674
124,18,Female,Kigali,Agriculture,Secondary,Urban,282238
125,42,Female,Kigali,Manufacturing,No Education,Rural,242061
126,61,Male,Southern,Agriculture,Tertiary,Rural,156907
127,23,Male,Eastern,Agriculture,Tertiary,Rural,59458
128,28,Male,Kigali,Agriculture,No Education,Rural,25064
129,36,Male,Eastern,Agriculture,Primary,Rural,94596
130,28,Male,Western,Agriculture,Primary,Rural,56275
131,18,Male,Northern,Services,Secondary,Rural,321288
132,35,Male,Eastern,Services,Secondary,Rural,279671
133,22,Female,Kigali,Services,Secondary,Urban,172708
134,40,Female,Western,Agriculture,Secondary,Rural,40662
135,23,Female,Southern,Agriculture,Primary,Urban,169926
136,53,Male,Kigali,Services,Secondary,Rural,68208
137,25,Male,Kigali,Agriculture,Secondary,Rural,55963
138,31,Female,Kigali,Agriculture,Secondary,Urban,60964
139,44,Female,Kigali,Trade,Tertiary,Urban,206767
140,20,Male,Northern,Manufacturing,Secondary,Rural,458167
141,37,Female,Western,Trade,Primary,Rural,108150
142,50,Female,Eastern,Services,Primary,Rural,91405
143,18,Female,Southern,Agriculture,Secondary,Rural,30294
144,37,Male,Eastern,Manufacturing,No Education,Urban,279438
145,38,Female,Southern,Agriculture,Tertiary,Rural,76139
146,44,Female,Southern,Services,Primary,Rural,143149
147,20,Female,Kigali,Agriculture,Secondary,Rural,77330
148,19,Female,Eastern,Trade,Secondary,Urban,326201
149,41,Female,Northern,Agriculture,No Education,Rural,69638
150,38,Female,Kigali,Other,Tertiary,Urban,220358
151,38,Male,Eastern,Trade,Tertiary,Urban,340696
152,39,Female,Northern,Services,Secondary,Rural,830877
153,26,Female,Western,Manufacturing,Primary,Urban,402280
154,37,Female,Eastern,Services,Primary,Urban,157804
155,38,Male,Southern,Trade,Primary,Rural,108865
156,26,Male,Eastern,Services,Primary,Rural,85625
157,57,Female,Southern,Trade,Secondary,Rural,60016
158,40,Female,Northern,Services,Tertiary,Rural,137023
159,20,Female,Western,Other,Secondary,Rural,69192
160,42,Female,Eastern,Services,Tertiary,Urban,467505
161,23,Female,Northern,Services,Secondary,Rural,65364
162,44,Female,Northern,Trade,Secondary,Rural,372850
163,48,Female,Eastern,Trade,Tertiary,Rural,324299
164,25,Female,Kigali,Services,Secondary,Urban,203506
165,46,Female,Kigali,Agriculture,Tertiary,Urban,184843
166,39,Male,Kigali,Services,Primary,Rural,83433
167,44,Male,Western,Other,Primary,Rural,134777
168,57,Female,Kigali,Trade,Tertiary,Rural,424327
169,32,Male,Kigali,Trade,Secondary,Rural,73118
170,25,Male,Southern,Agriculture,Tertiary,Urban,54192
171,24,Male,Eastern,Services,Tertiary,Rural,374251
172,25,Male,Northern,Services,No Education,Rural,153555
173,34,Male,Kigali,Trade,Secondary,Rural,52376
174,39,Male,Western,Agriculture,Primary,Urban,62806
175,38,Female,Western,Trade,Secondary,Rural,64542
176,44,Female,Western,Services,Secondary,Rural,86254
177,35,Male,Eastern,Agriculture,Primary,Urban,87167
178,52,Male,Southern,Agriculture,Secondary,Rural,82949
179,31,Female,Kigali,Agriculture,Secondary,Urban,79296
180,67,Male,Kigali,Services,Primary,Rural,71047
181,42,Female,Kigali,Agriculture,Secondary,Rural,85493
182,24,Female,Northern,Agriculture,Secondary,Urban,152624
183,22,Female,Eastern,Trade,Tertiary,Urban,179353
184,40,Male,Northern,Agriculture,Primary,Rural,219498
185,32,Female,Kigali,Agriculture,Primary,Rural,130435
186,43,Male,Eastern,Services,Secondary,Rural,43131
187,40,Female,Southern,Services,No Education,Urban,234138
188,34,Female,Eastern,Trade,Tertiary,Rural,288434
189,24,Male,Southern,Services,No Education,Urban,108759
190,18,Male,Kigali,Trade,Secondary,Rural,38801
191,29,Male,Southern,Services,Secondary,Rural,154993
192,45,Female,Northern,Agriculture,Primary,Rural,86335
193,37,Male,Kigali,Agriculture,No Education,Rural,32194
194,20,Female,Kigali,Services,Secondary,Urban,62697
195,37,Male,Northern,Agriculture,Secondary,Urban,124435
196,39,Female,Southern,Manufacturing,Primary,Rural,126161
197,24,Female,Eastern,Services,Tertiary,Rural,152709
198,36,Female,Kigali,Agriculture,Primary,Rural,81262
199,35,Female,Western,Agriculture,Primary,Rural,35952
200,21,Male,Southern,Agriculture,Secondary,Rural,72501
201,39,Male,Eastern,Services,Primary,Rural,199644
202,41,Female,Eastern,Services,Tertiary,Rural,161156
203,47,Male,Kigali,Services,Primary,Urban,44463
204,47,Male,Northern,Agriculture,No Education,Urban,70337
205,18,Male,Eastern,Manufacturing,Primary,Rural,64579
206,23,Male,Western,Trade,Secondary,Rural,158906
207,41,Male,Eastern,Agriculture,Secondary,Rural,132493
208,41,Female,Eastern,Services,Secondary,Urban,53105
209,41,Male,Northern,Other,No Education,Rural,181173
210,70,Female,Western,Agriculture,Primary,Urban,46387
211,41,Male,Southern,Services,Secondary,Rural,536076
212,48,Female,Eastern,Agriculture,No Education,Urban,98735
213,46,Male,Southern,Services,Tertiary,Urban,102268
214,42,Female,Northern,Agriculture,No Education,Urban,41176
215,31,Female,Eastern,Other,Secondary,Urban,220401
216,44,Male,Kigali,Manufacturing,Primary,Rural,111161
217,25,Female,Eastern,Trade,Secondary,Urban,154415
218,32,Female,Kigali,Manufacturing,Primary,Urban,718104
219,29,Female,Western,Services,No Education,Rural,67705
220,35,Female,Eastern,Services,Primary,Rural,136707
221,62,Male,Western,Trade,Primary,Urban,439569
222,18,Female,Northern,Other,Primary,Urban,175270
223,43,Male,Northern,Services,Secondary,Rural,42591
224,18,Male,Northern,Other,Secondary,Rural,192273
225,29,Female,Kigali,Services,Secondary,Rural,60735
226,48,Male,Eastern,Services,Secondary,Rural,474554
227,35,Female,Kigali,Services,Secondary,Urban,103648
228,22,Female,Northern,Agriculture,Primary,Urban,1214858
229,26,Female,Eastern,Agriculture,Secondary,Rural,332076
230,43,Female,Southern,Agriculture,Primary,Rural,45930
231,26,Male,Kigali,Services,Secondary,Urban,203426
232,37,Male,Kigali,Agriculture,Primary,Rural,158749
233,35,Male,Eastern,Services,No Education,Urban,288258
234,27,Male,Western,Other,Secondary,Urban,237660
235,60,Male,Southern,Agriculture,Primary,Urban,307508
236,42,Male,Eastern,Services,Tertiary,Urban,251223
237,18,Female,Northern,Agriculture,Tertiary,Rural,106007
238,37,Female,Kigali,Agriculture,No Education,Rural,59836
239,27,Male,Western,Trade,Primary,Urban,280512
240,45,Female,Southern,Services,Secondary,Rural,206247
241,25,Male,Kigali,Trade,Secondary,Rural,162006
242,33,Male,Northern,Agriculture,Primary,Rural,164120
243,41,Female,Kigali,Services,Secondary,Rural,29847
244,45,Female,Western,Agriculture,Secondary,Urban,171037
245,20,Female,Kigali,Agriculture,Primary,Rural,103468
246,30,Male,Northern,Agriculture,No Education,Rural,300109
247,29,Female,Kigali,Agriculture,Secondary,Rural,30222
248,27,Female,Southern,Agriculture,Primary,Rural,301919
249,56,Female,Southern,Agriculture,Secondary,Urban,141763
250,39,Female,Southern,Other,Primary,Rural,160572
251,19,Female,Northern,Agriculture,Secondary,Urban,510078
252,46,Female,Western,Agriculture,Tertiary,Urban,289414
253,60,Female,Kigali,Agriculture,Tertiary,Urban,254562
254,47,Female,Eastern,Services,Primary,Rural,158176
255,18,Female,Kigali,Agriculture,Primary,Urban,76707
256,29,Male,Western,Trade,Secondary,Rural,125438
257,50,Female,Eastern,Other,Primary,Rural,61261
258,26,Male,Southern,Agriculture,Primary,Rural,83827
259,40,Male,Southern,Services,Tertiary,Urban,42775
260,44,Female,Kigali,Agriculture,Primary,Rural,122442
261,23,Female,Kigali,Services,No Education,Rural,107466
262,34,Female,Kigali,Services,No Education,Rural,90522
263,18,Male,Eastern,Agriculture,Secondary,Rural,122397
264,22,Female,Kigali,Agriculture,Secondary,Rural,32609
265,31,Male,Kigali,Manufacturing,Primary,Rural,711548
266,20,Female,Western,Services,Primary,Rural,120020
267,54,Female,Western,Agriculture,Primary,Urban,100494
268,18,Female,Eastern,Manufacturing,Secondary,Rural,82993
269,29,Female,Eastern,Services,No Education,Rural,120750
270,36,Female,Kigali,Trade,Tertiary,Rural,538937
271,52,Female,Southern,Agriculture,Primary,Rural,198968
272,18,Male,Southern,Trade,Tertiary,Urban,457577
273,48,Male,Kigali,Manufacturing,Primary,Rural,235367
274,35,Female,Kigali,Agriculture,Secondary,Rural,77063
275,23,Female,Southern,Manufacturing,Primary,Rural,47650
276,40,Male,Northern,Services,No Education,Urban,131118
277,37,Female,Kigali,Other,Tertiary,Rural,147132
278,27,Male,Northern,Agriculture,Tertiary,Rural,328955
279,35,Female,Eastern,Services,Primary,Urban,216968
280,30,Female,Eastern,Agriculture,Secondary,Urban,484772
281,36,Female,Southern,Other,Secondary,Rural,334487
282,42,Female,Southern,Agriculture,Tertiary,Urban,128259
283,54,Male,Eastern,Other,Primary,Rural,25827
284,20,Male,Western,Other,Secondary,Urban,505442
285,60,Female,Eastern,Agriculture,Secondary,Rural,304592
286,18,Female,Southern,Trade,Primary,Rural,36400
287,33,Male,Eastern,Other,Tertiary,Rural,594323
288,42,Female,Western,Agriculture,Primary,Rural,117931
289,38,Male,Western,Services,Primary,Rural,148179
290,27,Female,Kigali,Services,Secondary,Rural,560459
291,32,Female,Western,Agriculture,Secondary,Urban,391340
292,29,Male,Southern,Agriculture,Primary,Rural,146273
293,27,Male,Southern,Agriculture,Primary,Urban,164901
294,45,Female,Kigali,Agriculture,Tertiary,Rural,232758
295,39,Female,Southern,Services,Primary,Urban,123001
296,26,Female,Western,Agriculture,Secondary,Urban,127708
297,45,Female,Kigali,Trade,Secondary,Rural,62349
298,38,Female,Western,Manufacturing,Primary,Urban,151405
299,44,Female,Kigali,Agriculture,Tertiary,Urban,137819
300,42,Female,Kigali,Manufacturing,Secondary,Rural,108076
301,25,Female,Northern,Manufacturing,Secondary,Rural,200432
302,28,Male,Northern,Other,Secondary,Rural,99030
303,43,Male,Northern,Agriculture,Secondary,Rural,153431
304,42,Female,Kigali,Agriculture,Secondary,Urban,36451
305,34,Male,Western,Other,Tertiary,Rural,162283
306,36,Female,Kigali,Other,Primary,Urban,156829
307,50,Female,Kigali,Manufacturing,Primary,Rural,118572
308,27,Female,Kigali,Trade,Primary,Rural,94598
309,41,Male,Northern,Agriculture,No Education,Rural,22218
310,32,Male,Western,Services,No Education,Rural,157550
311,32,Male,Southern,Agriculture,Tertiary,Urban,310237
312,48,Male,Southern,Agriculture,Secondary,Rural,152367
313,44,Male,Kigali,Trade,Secondary,Rural,294591
314,44,Female,Northern,Agriculture,Secondary,Urban,156812
315,50,Female,Eastern,Services,Secondary,Urban,293606
316,35,Female,Eastern,Other,Secondary,Rural,145398
317,43,Female,Kigali,Agriculture,Tertiary,Rural,246393
318,31,Male,Southern,Other,Primary,Rural,30746
319,38,Female,Northern,Other,Tertiary,Rural,86935
320,33,Female,Southern,Services,Secondary,Urban,712524
321,36,Male,Eastern,Agriculture,Primary,Rural,12134
322,42,Female,Kigali,Agriculture,Secondary,Rural,91773
323,25,Male,Northern,Services,Secondary,Urban,511380
324,60,Female,Kigali,Agriculture,Primary,Rural,80624
325,22,Female,Western,Agriculture,Secondary,Urban,96526
326,20,Male,Northern,Other,Primary,Urban,156562
327,48,Female,Kigali,Agriculture,No Education,Urban,77398
328,44,Female,Western,Manufacturing,Tertiary,Rural,254979
329,42,Female,Northern,Agriculture,Secondary,Rural,59427
330,42,Male,Kigali,Services,Tertiary,Rural,517646
331,34,Female,Northern,Other,Secondary,Urban,520914
332,24,Male,Kigali,Agriculture,Primary,Rural,78077
333,35,Male,Southern,Agriculture,Secondary,Rural,33861
334,26,Male,Southern,Manufacturing,Secondary,Rural,118156
335,46,Female,Western,Manufacturing,Tertiary,Rural,214715
336,33,Female,Northern,Manufacturing,Primary,Rural,227797
337,25,Female,Eastern,Agriculture,Tertiary,Urban,82503
338,31,Female,Southern,Agriculture,Tertiary,Rural,76827
339,39,Male,Kigali,Other,Secondary,Rural,193088
340,28,Male,Northern,Other,Tertiary,Rural,376590
341,25,Male,Northern,Services,Primary,Urban,103024
342,37,Male,Kigali,Trade,Tertiary,Urban,79505
343,37,Male,Eastern,Services,Secondary,Rural,2130741
344,28,Male,Western,Services,No Education,Urban,288176
345,29,Male,Western,Agriculture,Tertiary,Urban,149253
346,37,Male,Kigali,Services,Secondary,Rural,308633
347,18,Male,Kigali,Services,Secondary,Rural,139402
348,18,Male,Kigali,Agriculture,Secondary,Rural,205447
349,26,Female,Western,Services,Primary,Rural,148026
350,32,Female,Kigali,Trade,Secondary,Urban,179466
351,38,Female,Southern,Manufacturing,Secondary,Rural,164057
352,52,Male,Kigali,Services,No Education,Urban,48377
353,45,Male,Northern,Other,Primary,Rural,511849
354,33,Female,Eastern,Agriculture,No Education,Rural,37183
355,34,Male,Southern,Services,Primary,Rural,43897
356,22,Male,Kigali,Trade,Secondary,Urban,140707
357,34,Male,Northern,Services,Secondary,Rural,71361
358,31,Male,Kigali,Agriculture,Tertiary,Urban,177306
359,38,Male,Southern,Agriculture,Secondary,Rural,177980
360,25,Male,Western,Trade,Primary,Rural,240759
361,41,Female,Kigali,Services,Tertiary,Rural,409172
362,53,Male,Western,Trade,Secondary,Urban,130642
363,33,Male,Northern,Services,Secondary,Rural,160228
364,39,Female,Kigali,Manufacturing,Secondary,Rural,248982
365,43,Male,Eastern,Trade,Tertiary,Urban,56608
366,30,Male,Kigali,Manufacturing,Secondary,Rural,283595
367,37,Female,Southern,Agriculture,Primary,Urban,35196
368,35,Male,Southern,Services,Secondary,Rural,787771
369,36,Male,Kigali,Trade,No Education,Rural,71423
370,25,Female,Northern,Agriculture,Primary,Rural,74926
371,35,Male,Southern,Agriculture,Primary,Rural,46929
372,40,Female,Western,Agriculture,Primary,Urban,68224
373,52,Female,Northern,Other,No Education,Urban,791463
374,46,Male,Western,Agriculture,Primary,Rural,184326
375,60,Female,Northern,Services,Secondary,Rural,44592
376,25,Female,Eastern,Services,Secondary,Urban,666916
377,45,Male,Southern,Services,Tertiary,Rural,553879
378,37,Female,Eastern,Manufacturing,Primary,Rural,121395
379,61,Male,Eastern,Agriculture,Secondary,Urban,170577
380,25,Female,Eastern,Services,Tertiary,Rural,210692
381,24,Male,Southern,Trade,Primary,Urban,684017
382,27,Male,Southern,Trade,Secondary,Rural,67868
383,18,Male,Eastern,Agriculture,Secondary,Urban,150000
384,28,Female,Eastern,Trade,No Education,Rural,70086
385,25,Male,Eastern,Manufacturing,Tertiary,Rural,79049
386,36,Male,Northern,Trade,Secondary,Rural,740939
387,39,Male,Kigali,Services,No Education,Rural,46030
388,57,Female,Southern,Services,No Education,Rural,141269
389,46,Female,Eastern,Other,No Education,Urban,31882
390,28,Female,Eastern,Trade,Primary,Rural,78909
391,24,Female,Kigali,Services,Secondary,Rural,215833
392,40,Female,Kigali,Agriculture,Secondary,Rural,53073
393,19,Male,Western,Agriculture,Primary,Urban,180587
394,56,Female,Eastern,Agriculture,Tertiary,Urban,149010
395,49,Female,Kigali,Agriculture,Primary,Rural,219747
396,29,Female,Eastern,Agriculture,No Education,Rural,234747
397,18,Female,Eastern,Trade,Primary,Rural,67908
398,51,Male,Kigali,Agriculture,Secondary,Rural,109164
399,33,Male,Eastern,Manufacturing,Primary,Urban,228870
400,49,Female,Northern,Agriculture,Primary,Rural,142578
401,18,Female,Northern,Agriculture,Primary,Rural,87875
402,27,Female,Eastern,Agriculture,Secondary,Rural,119537
403,35,Female,Eastern,Agriculture,Tertiary,Urban,152098
404,35,Female,Western,Trade,Primary,Urban,154796
405,29,Male,Eastern,Trade,Primary,Urban,398724
406,42,Female,Kigali,Agriculture,Secondary,Rural,172144
407,22,Male,Kigali,Services,Secondary,Urban,350829
408,33,Male,Eastern,Services,Primary,Urban,302081
409,36,Male,Southern,Trade,Tertiary,Rural,157115
410,41,Female,Kigali,Trade,Secondary,Urban,215300
411,43,Male,Southern,Services,Secondary,Urban,84028
412,21,Male,Kigali,Manufacturing,Secondary,Urban,644510
413,18,Female,Eastern,Trade,Tertiary,Urban,24928
414,50,Male,Southern,Agriculture,Secondary,Rural,95750
415,38,Female,Eastern,Services,No Education,Rural,295090
416,26,Female,Northern,Other,Primary,Rural,36468
417,53,Female,Kigali,Manufacturing,Secondary,Rural,247374
418,36,Female,Southern,Services,Primary,Rural,75585
419,49,Male,Kigali,Services,Secondary,Rural,114650
420,35,Female,Western,Agriculture,Secondary,Urban,284457
421,59,Male,Kigali,Services,Secondary,Urban,234566
422,56,Female,Western,Manufacturing,Tertiary,Rural,48862
423,32,Male,Eastern,Services,Primary,Urban,77563
424,46,Female,Southern,Manufacturing,Tertiary,Urban,705662
425,42,Male,Eastern,Trade,Secondary,Rural,183784
426,51,Male,Western,Agriculture,Primary,Rural,351749
427,23,Male,Kigali,Services,Secondary,Urban,769247
428,43,Male,Kigali,Services,Primary,Urban,128823
429,47,Female,Eastern,Manufacturing,Secondary,Rural,1330980
430,18,Male,Kigali,Agriculture,Secondary,Rural,104694
431,20,Female,Kigali,Services,Primary,Urban,78422
432,18,Female,Western,Trade,Secondary,Rural,77300
433,31,Female,Western,Services,Secondary,Rural,25318
434,43,Male,Eastern,Other,Primary,Rural,392748
435,53,Male,Western,Other,No Education,Urban,459628
436,35,Female,Northern,Agriculture,Primary,Urban,50117
437,54,Male,Kigali,Agriculture,Secondary,Rural,85554
438,18,Male,Southern,Other,Tertiary,Rural,191812
439,18,Female,Southern,Other,Tertiary,Urban,107137
440,34,Female,Western,Agriculture,Secondary,Rural,25213
441,39,Female,Kigali,Agriculture,Secondary,Urban,112791
442,34,Male,Southern,Agriculture,Primary,Urban,87349
443,18,Female,Kigali,Other,Secondary,Rural,94055
444,33,Male,Kigali,Agriculture,Primary,Urban,134955
445,19,Male,Kigali,Services,Primary,Rural,408908
446,43,Female,Western,Trade,Secondary,Rural,100698
447,39,Male,Southern,Agriculture,No Education,Rural,90509
448,23,Male,Southern,Services,Secondary,Rural,275455
449,28,Male,Northern,Agriculture,Secondary,Rural,159936
450,22,Female,Eastern,Trade,Primary,Urban,86347
451,34,Female,Kigali,Agriculture,Primary,Rural,93832
452,46,Female,Kigali,Manufacturing,Tertiary,Rural,385497
453,23,Female,Eastern,Manufacturing,Secondary,Urban,94704
454,41,Male,Southern,Agriculture,Primary,Urban,310320
455,28,Male,Northern,Agriculture,Primary,Urban,354974
456,25,Male,Kigali,Services,Secondary,Rural,86375
457,33,Male,Kigali,Agriculture,Secondary,Rural,119869
458,22,Female,Kigali,Trade,Primary,Rural,181522
459,28,Female,Eastern,Trade,Primary,Rural,70180
460,20,Male,Western,Services,Tertiary,Rural,313451
461,58,Male,Northern,Services,Secondary,Rural,175481
462,35,Male,Southern,Services,Tertiary,Rural,65892
463,26,Male,Eastern,Trade,Secondary,Rural,185292
464,37,Female,Eastern,Services,Tertiary,Rural,88432
465,33,Male,Kigali,Agriculture,Primary,Rural,184154
466,32,Male,Western,Agriculture,Secondary,Rural,60009
467,42,Female,Southern,Services,No Education,Rural,104119
468,44,Male,Kigali,Services,Secondary,Rural,461625
469,28,Female,Northern,Services,Secondary,Rural,229071
470,28,Male,Eastern,Agriculture,Primary,Rural,36628
471,31,Female,Northern,Manufacturing,Tertiary,Rural,110450
472,18,Female,Western,Agriculture,Tertiary,Rural,88009
473,18,Female,Northern,Agriculture,No Education,Rural,108290
474,51,Male,Northern,Services,Secondary,Urban,266649
475,54,Female,Kigali,Agriculture,Primary,Urban,57529
476,32,Male,Kigali,Services,Primary,Rural,51218
477,41,Male,Kigali,Agriculture,Secondary,Rural,128603
478,38,Male,Kigali,Services,Primary,Rural,112661
479,70,Male,Southern,Services,Tertiary,Rural,1197660
480,48,Female,Southern,Agriculture,Primary,Rural,89451
481,33,Female,Kigali,Agriculture,Secondary,Urban,569769
482,23,Female,Southern,Trade,Secondary,Urban,65409
483,18,Female,Kigali,Services,Primary,Rural,37014
484,37,Female,Eastern,Services,Primary,Urban,69142
485,25,Male,Kigali,Agriculture,Secondary,Rural,265806
486,18,Male,Eastern,Services,Secondary,Rural,627542
487,27,Female,Kigali,Services,Primary,Rural,69695
488,22,Male,Eastern,Services,Secondary,Rural,106535
489,55,Female,Eastern,Manufacturing,No Education,Rural,54246
490,45,Male,Western,Agriculture,Primary,Urban,26508
491,34,Male,Kigali,Agriculture,Secondary,Rural,182398
492,52,Male,Kigali,Trade,No Education,Rural,117997
493,35,Male,Kigali,Other,Secondary,Urban,168235
494,24,Male,Northern,Agriculture,Secondary,Urban,43544
495,53,Female,Kigali,Services,Tertiary,Urban,1029349
496,41,Male,Southern,Agriculture,Secondary,Urban,89223
497,22,Female,Northern,Agriculture,Tertiary,Rural,217846
498,32,Male,Northern,Agriculture,Secondary,Rural,32066
499,24,Male,Northern,Agriculture,Secondary,Rural,88150
500,18,Male,Kigali,Manufacturing,Tertiary,Rural,314066
